task,model,threshold,tp,fp,fn,tn,precision,recall,f1,fpr,fnr
loops,FELLMVP,0.7783,895,112,105,888,88.88,89.5,89.19,11.2,10.5
loops,SCVulBERT,0.7367,913,148,87,852,86.05,91.3,88.6,14.8,8.7
loops,SmartGuard,0.7557,907,116,93,884,88.66,90.7,89.67,11.6,9.3
loops,TEFIE-Secure,0.7877,904,88,96,912,91.13,90.4,90.76,8.8,9.6
loops,VDM-AEI,0.7893,925,95,75,905,90.69,92.5,91.58,9.5,7.5
reentrancy,FELLMVP,0.8035,892,88,108,912,91.02,89.2,90.1,8.8,10.8
reentrancy,SCVulBERT,0.787,916,74,84,926,92.53,91.6,92.06,7.4,8.4
reentrancy,SmartGuard,0.7827,873,105,127,895,89.26,87.3,88.27,10.5,12.7
reentrancy,TEFIE-Secure,0.7784,911,98,89,902,90.29,91.1,90.69,9.8,8.9
reentrancy,VDM-AEI,0.7958,902,93,98,907,90.65,90.2,90.43,9.3,9.8
timestamp,FELLMVP,0.7857,903,97,97,903,90.3,90.3,90.3,9.7,9.7
timestamp,SCVulBERT,0.7658,912,111,88,889,89.15,91.2,90.16,11.1,8.8
timestamp,SmartGuard,0.745,900,140,100,860,86.54,90.0,88.24,14.0,10.0
timestamp,TEFIE-Secure,0.7734,914,99,86,901,90.23,91.4,90.81,9.9,8.6
timestamp,VDM-AEI,0.7745,940,89,60,911,91.35,94.0,92.66,8.9,6.0
